iter	MultiClass
0	0.6123404768
1	0.5457450185
2	0.4908134164
3	0.4435779962
4	0.4045228023
5	0.3715622696
6	0.3411408847
7	0.3147765003
8	0.2918033161
9	0.2711380565
10	0.2553390386
11	0.2401203108
12	0.2272614731
13	0.2150897574
14	0.2048734695
15	0.1960271814
16	0.1870056826
17	0.1802157186
18	0.1731871943
19	0.1671547125
20	0.1610418674
21	0.1558768257
22	0.1510556911
23	0.1476705441
24	0.1438050402
25	0.1401995638
26	0.1370565114
27	0.135034707
28	0.1324221515
29	0.1306182717
30	0.1284659165
31	0.1263119571
32	0.1245917673
33	0.1233455527
34	0.1222412464
35	0.1215083131
36	0.1212140673
37	0.1202617498
38	0.119146973
39	0.1184206913
40	0.1176087946
41	0.1164581766
42	0.115291467
43	0.1142896741
44	0.1139053804
45	0.1133028614
46	0.1126856626
47	0.1121038724
48	0.1118562772
49	0.111737055
50	0.1114440201
51	0.1112427462
52	0.1111040675
53	0.1106832679
54	0.1103436741
55	0.110096023
56	0.1099593698
57	0.1092510247
58	0.1090552443
59	0.1085324107
60	0.10823008
61	0.1079482681
62	0.1076284818
63	0.1074568722
64	0.1073392784
65	0.1067042319
66	0.1062843657
67	0.1061300335
68	0.10588092
69	0.1055657322
70	0.1052647515
71	0.1050528859
72	0.1047989221
73	0.104682612
74	0.1044802911
75	0.104255962
76	0.1040605759
77	0.1038570181
78	0.1035910862
79	0.1032992714
80	0.1030219509
81	0.1027124666
82	0.1024725159
83	0.1023016844
84	0.102072525
85	0.1018824871
86	0.1018031753
87	0.1015088025
88	0.1012792244
89	0.1011517144
90	0.1009861035
91	0.1007366965
92	0.100484976
93	0.1003223113
94	0.100172383
95	0.09973023275
96	0.09941137253
97	0.09931408415
98	0.09894163183
99	0.09870085024
