iter	Passed	Remaining
0	141	14053
1	144	7073
2	147	4762
3	148	3563
4	150	2863
5	152	2386
6	154	2057
7	156	1799
8	158	1604
9	160	1443
10	161	1309
11	163	1199
12	165	1106
13	166	1024
14	168	954
15	169	891
16	171	836
17	172	785
18	174	742
19	175	702
20	176	664
21	178	632
22	179	602
23	181	573
24	182	547
25	185	527
26	187	505
27	188	484
28	190	465
29	192	449
30	194	432
31	196	417
32	198	403
33	200	388
34	202	375
35	203	362
36	205	349
37	207	338
38	209	327
39	211	316
40	212	306
41	214	296
42	216	287
43	218	277
44	219	268
45	221	259
46	222	251
47	224	243
48	226	235
49	228	228
50	230	221
51	232	214
52	233	207
53	235	200
54	237	194
55	238	187
56	240	181
57	242	175
58	243	169
59	245	163
60	247	158
61	248	152
62	250	146
63	251	141
64	253	136
65	255	131
66	257	126
67	258	121
68	260	117
69	262	112
70	264	108
71	266	103
72	268	99
73	270	95
74	272	90
75	273	86
76	275	82
77	277	78
78	279	74
79	281	70
80	283	66
81	285	62
82	287	58
83	289	55
84	290	51
85	292	47
86	294	43
87	296	40
88	298	36
89	300	33
90	302	29
91	304	26
92	306	23
93	308	19
94	310	16
95	312	13
96	314	9
97	316	6
98	318	3
99	320	0
