iter	Passed	Remaining
0	1	161
1	3	156
2	4	159
3	6	149
4	7	139
5	8	136
6	9	131
7	10	123
8	11	119
9	13	117
10	14	115
11	15	114
12	16	112
13	17	110
14	19	109
15	20	108
16	21	106
17	22	104
18	23	101
19	24	99
20	26	97
21	27	96
22	28	94
23	29	92
24	30	91
25	31	90
26	33	90
27	34	89
28	36	88
29	37	87
30	38	85
31	39	84
32	40	82
33	41	80
34	42	79
35	43	77
36	44	76
37	46	75
38	47	73
39	48	73
40	50	72
41	51	71
42	53	70
43	54	69
44	55	68
45	57	67
46	58	66
47	60	65
48	61	63
49	62	62
50	63	61
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	71	51
58	72	50
59	73	49
60	74	47
61	75	46
62	76	45
63	78	43
64	79	42
65	80	41
66	81	40
67	82	39
68	83	37
69	85	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	93	27
77	94	26
78	96	25
79	97	24
80	98	23
81	100	22
82	101	20
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	110	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	120	3
97	121	2
98	122	1
99	123	0
